7.1,0.06
4.5,0.08
8.5,0.27
6.7,0.05
7.2,0.16
9.0,0.77
7.5,0.23
6.1,0.03
8.3,0.31
4.8,0.49
3.5,0.06
8.0,0.13
8.7,1.4
5.9,0.06
4.1,0.07
1.5,0.07
6.8,0.39
9.3,1.63
8.0,0.63
7.8,0.13
5.3,0.33
6.6,0.7
6.7,0.45
8.0,1.0
2.4,0.02
8.0,0.02
7.2,0.18
7.0,0.24
7.0,0.1
6.3,0.19
7.3,0.36
7.6,0.11
8.1,0.16
7.0,0.29
6.2,0.32
7.7,0.56
4.0,0.63
7.7,1.46
7.2,0.41
6.6,0.45
5.8,0.03
6.5,0.34000000000000000
6.7,0.05
5.0,0.03
7.2,0.26
7.2,0.28
6.2,0.34
7.6,0.24
3.8,0.01
6.9,0.18
5.9,1.37
6.0,0.83
7.4,2.8100000000000000
7.1,2.1600000000000000
3.5,0.05
8.0,0.49
3.1,0.03
6.8,0.6000000000000000
4.0,0.49
7.5,0.59
8.4,11.29
9.2,11.41
7.3,0.28
8.8,13.060000000000000
8.7,13.710000000000000
9.5,4.63
6.0,0.19
8.6,5.3
5.7,0.32
6.3,1.26
9.1,6.97
8.8,9.210000000000000
6.0,0.1
6.5,0.1
5.6,0.16
4.8,0.03
8.5,0.71
8.8,0.09
7.0,0.36
7.7,0.18
6.8,0.06
6.1,0.29
7.2,0.15
6.4,0.53
7.8,0.52
6.0,0.03
7.8,0.5700000000000000
5.9,0.43000000000000000
7.1,0.24
6.5,1.2200000000000000
7.5,0.22000000000000000
7.4,0.13
8.0,0.02
8.1,0.09
7.5,0.14
7.8,0.92
3.8,0.49
8.1,0.36000000000000000
5.2,0.36
7.2,0.34
6.0,0.18
6.0,0.26
5.5,0.23
6.0,0.77
4.3,1.38
6.6,0.41000000000000000
6.4,2.96
8.0,1.61
7.8,0.9400000000000000
7.9,0.04
7.3,0.1
7.6,3.3800000000000000
8.4,0.08
9.3,0.01
6.6,0.33
8.0,0.76
6.2,0.1
3.0,0.56
5.5,1.1100000000000000
6.0,0.02
5.6,0.3
5.2,0.21000000000000000
8.3,0.13
6.0,0.31
7.5,0.1
8.2,0.27
5.4,0.11
6.3,1.09
2.0,0.26
5.2,0.03
9.3,7.82
9.6,10.29
8.6,0.37
8.1,5.69
7.0,0.75
2.3,0.19
5.5,0.5900000000000000
7.5,0.5800000000000000
7.1,0.99
7.7,0.34
6.0,0.01
8.5,0.15
7.0,0.10000000000000000
5.8,0.06
4.0,0.44
9.0,0.03
9.0,0.08
7.8,1.41
8.9,17.32
8.7,14.600000000000000
8.5,0.03
8.6,2.8
9.0,7.160000000000000
5.6,0.12
5.3,0.24
7.7,0.27
7.3,0.07
8.9,2.14
9.5,1.43
7.1,0.1
7.9,0.11
7.3,0.32
6.8,1.05
9.2,0.62
6.9,0.02
8.1,0.63
5.2,2.92
4.9,0.65
2.5,0.21
2.4,0.2
8.3,0.5
7.8,0.05
4.8,0.57
8.0,0.06
4.9,1.66
5.0,1.1500000000000000
7.3,0.25
6.2,0.27
9.6,4.27
8.6,3.75
9.5,3.79
4.8,0.79
7.9,0.28000000000000000
7.7,1.67
9.3,0.04
6.0,0.05
6.3,0.6500000000000000
7.1,0.01
8.3,0.06
6.9,0.37
9.1,0.71
6.6,0.07
8.2,0.1
7.7,0.25
4.6,0.35
8.5,0.94
7.9,0.11
8.7,0.73
7.5,0.24
8.0,0.15000000000000000
7.6,0.29000000000000000
7.0,2.0400000000000000
6.6,0.15
5.3,0.32
6.7,0.51
8.2,0.45
7.4,0.02
6.8,0.15
6.8,0.56
7.9,1.5800000000000000
6.6,0.25
6.5,0.24000000000000000
7.8,0.44
7.9,0.74
8.6,0.39
8.2,0.46
7.9,0.18
6.5,0.29000000000000000
7.7,0.92
6.5,0.21
5.7,0.1
6.7,0.1
4.9,0.05
8.3,1.37
6.0,0.2
4.9,0.22
7.9,0.04
7.8,0.15
7.3,1.3400000000000000
6.1,1.04
6.3,0.02
8.4,0.25
7.2,0.08
6.5,0.39
7.3,0.09
7.5,0.07
7.9,0.12
8.8,0.25
6.5,0.33
3.5,0.04
6.5,0.66
6.0,0.03
8.6,1.21
8.8,0.46
4.5,0.11
8.3,5.77
8.0,0.51
6.0,0.02
5.0,0.05
7.6,0.01
5.9,0.8400000000000000
7.2,0.08
7.5,0.36
6.1,0.45
8.4,1.14
7.5,0.11
4.7,0.12
7.4,0.56
5.3,0.14
6.2,0.01
6.5,0.01
4.9,0.11
9.0,0.22
8.6,0.55
7.6,1.04
8.4,0.56
7.6,0.19
7.3,0.01
7.1,1.95
6.3,0.46000000000000000
7.3,0.06
7.5,0.24
8.1,0.06
6.8,0.46
7.6,1.81
4.6,0.13
6.0,0.02
8.4,0.01
8.2,0.24
7.0,0.11
6.5,1.7400000000000000
8.5,1.91
5.5,0.06
5.8,0.19
6.8,0.16
4.6,0.03
3.0,0.02
8.0,0.21
7.0,0.4
6.6,0.1
8.7,1.72
8.4,1.62
6.0,0.12
7.7,1.17
9.3,3.99
7.8,0.45
8.4,1.03
9.0,3.3
8.0,0.48
9.0,0.19
9.0,1.9300000000000000
8.2,1.16
7.5,0.68
7.7,0.54
7.0,0.26
7.7,0.38
6.9,0.28
8.2,0.22
7.1,0.14
5.6,0.31
6.9,0.07
6.0,0.25
5.2,0.63
7.0,0.9
7.9,0.88
5.9,0.01
5.7,0.08
4.4,0.04
4.2,0.07
6.8,0.03
